feature,ISO7185,ISO10206,TurboPascal,ObjectPascal,DelphiPascal,PascalABC.NET,ObjFPC,FPCDelphi
program_structure,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
constants,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
types,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
variables,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
arrays,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
records,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
sets,SUPPORTED,SUPPORTED,SUPPORTED,PARTIAL,SUPPORTED,PARTIAL,SUPPORTED,SUPPORTED
enumerations,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
subranges,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
pointers,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,PARTIAL,SUPPORTED,SUPPORTED
procedures,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
functions,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
control_flow,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
case,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
files,SUPPORTED,SUPPORTED,PARTIAL,PARTIAL,PARTIAL,RUNTIME_DEPENDENT,SUPPORTED,SUPPORTED
units,UNSUPPORTED,PARTIAL,SUPPORTED,DIALECT_SPECIFIC,SUPPORTED,RUNTIME_DEPENDENT,SUPPORTED,SUPPORTED
objects,UNSUPPORTED,PARTIAL,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
classes,UNSUPPORTED,UNSUPPORTED,PARTIAL,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
interfaces,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,PARTIAL,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
generics,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,PARTIAL,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
properties,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,PARTIAL,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
exceptions,UNSUPPORTED,PARTIAL,PARTIAL,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED
inline_assembly,UNSUPPORTED,UNSUPPORTED,SUPPORTED,DIALECT_SPECIFIC,DIALECT_SPECIFIC,RUNTIME_DEPENDENT,SUPPORTED,SUPPORTED
delegates,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,PARTIAL,PARTIAL,SUPPORTED,SUPPORTED,SUPPORTED
lambda_expressions,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,PARTIAL,PARTIAL,SUPPORTED,SUPPORTED,SUPPORTED
dotnet_interop,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,RUNTIME_DEPENDENT,UNSUPPORTED,UNSUPPORTED
